,index,winery,vintage,points,cities,MarchLowTemp,MarchHighTemp,MarchAvgTemp,MarchPrecip,MarchCloudiness,MarchHumidity,AprilLowTemp,AprilHighTemp,AprilAvgTemp,AprilPrecip,AprilCloudiness,AprilHumidity,MayLowTemp,MayHighTemp,MayAvgTemp,MayPrecip,MayCloudiness,MayHumidity,JuneLowTemp,JuneHighTemp,JuneAvgTemp,JunePrecip,JuneCloudiness,JuneHumidity,JulyLowTemp,JulyHighTemp,JulyAvgTemp,JulyPrecip,JulyCloudiness,JulyHumidity,AugLowTemp,AugHighTemp,AugAvgTemp,AugPrecip,AugCloudiness,AugHumidity
0,6,Claiborne & Churchill,2009,88,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,Claiborne & Churchill,2011,87,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,Claiborne & Churchill,2013,94,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,Claiborne & Churchill,2014,93,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,Claiborne & Churchill,2014,91,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,Claiborne & Churchill,2015,95,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,Claiborne & Churchill,2016,88,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,Lava Cap,2009,86,Placerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14,Lava Cap,2010,90,Placerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,Lava Cap,2010,83,Placerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16,Lava Cap,2011,88,Placerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17,Lava Cap,2012,90,Placerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,Lava Cap,2013,89,Placerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19,Lava Cap,2013,92,Placerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20,Lava Cap,2014,88,Placerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,21,Lava Cap,2014,90,Placerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,Lava Cap,2014,92,Placerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,23,Lava Cap,2015,92,Placerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,24,Lynmar,2009,92,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,25,Lynmar,2010,93,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,26,Lynmar,2010,92,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,27,Lynmar,2010,95,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,28,Lynmar,2011,90,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,29,Lynmar,2011,88,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,30,Lynmar,2012,93,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,31,Lynmar,2012,94,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,32,Lynmar,2012,91,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,33,Lynmar,2013,93,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,34,Lynmar,2013,94,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,35,Lynmar,2013,93,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,36,Lynmar,2013,95,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,37,Lynmar,2014,94,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,38,Lynmar,2014,93,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,39,Lynmar,2014,95,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,40,Lynmar,2015,95,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,41,Bishop's Peak,2009,89,Paso Robles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,42,Bishop's Peak,2009,89,Paso Robles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,43,Bishop's Peak,2011,86,Paso Robles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,44,Bishop's Peak,2012,87,Paso Robles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,45,Bishop's Peak,2013,86,Paso Robles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,46,Bishop's Peak,2015,88,Paso Robles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,47,Chimney Rock,2009,95,Napa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,48,Chimney Rock,2012,93,Napa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,54,Lawer,2009,85,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,55,Lawer,2009,87,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,56,Lawer,2011,87,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,57,Lawer,2011,89,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,58,Lawer,2012,85,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,59,Lawer,2012,87,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,60,Lawer,2013,87,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,61,Lawer,2015,86,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,72,En Garde,2009,94,Kenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,73,En Garde,2010,90,Kenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,74,En Garde,2012,90,Kenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,75,En Garde,2013,93,Kenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,76,En Garde,2013,91,Kenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,77,En Garde,2013,88,Kenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,78,En Garde,2014,90,Kenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,87,Foyt Family,2009,88,Sebastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
